company_name,sector,website,channel_priority,whatsapp_presence,linkedin_search_url,suggested_entry_point,notes
Cafe de Coral (大家樂),F&B,https://www.cfchk.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Cafe+de+Coral+Hong+Kong,Customer Service Manager; Digital Lead,Large chain; high impact
Fairwood (大快活),F&B,https://www.fairwood.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Fairwood+Hong+Kong,Operations Manager; CX Lead,Multi-branch; menu FAQ
Maxim's MX (美心MX),F&B,https://www.maxims.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Maxim%27s+Group+Hong+Kong,Digital; E-commerce; Contact Centre,Group brands; central CX
Starbucks Hong Kong (Maxim's),F&B,https://www.starbucks.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Starbucks+Hong+Kong+Maxim%27s,Digital Lead; Loyalty,High WhatsApp adoption
Pacific Coffee,F&B,https://www.pacificcoffee.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Pacific+Coffee+Hong+Kong,Marketing; CX,Membership FAQ
The Coffee Academics,F&B,https://www.the-coffeeacademics.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+The+Coffee+Academics+Hong+Kong,Operations; Digital,Booking + promo
% Arabica Hong Kong,F&B,https://arabica.coffee/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+%25+Arabica+Hong+Kong,Brand; Retail Ops,High footfall
Pret A Manger Hong Kong,F&B,https://www.pret.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Pret+A+Manger+Hong+Kong,Operations; CX,Office areas
Tsui Wah 翠華餐廳,F&B,https://www.tsuiwah.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Tsui+Wah+Hong+Kong,Operations; IT,Multi-location
Genki Sushi 元気寿司,F&B,https://www.genkisushi.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Genki+Sushi+Hong+Kong,Digital; Operations,Booking flow
Itacho Sushi 板长寿司,F&B,https://www.itacho.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Itacho+Sushi+Hong+Kong,Operations; CX,Popular chain
Sushi Express 爭鮮,F&B,https://www.sushiexpress.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Sushi+Express+Hong+Kong,Operations; CX,Price sensitive
Ajisen Ramen 味千拉麵,F&B,https://www.ajisen.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Ajisen+Ramen+Hong+Kong,Operations; IT,Menu FAQ
TamJai SamGor 譚仔三哥,F&B,https://www.tjsamgor.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+TamJai+SamGor+Holdings,Operations; Digital,High WhatsApp
TamJai Yunnan Mixian 譚仔雲南米線,F&B,https://www.tamjai.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+TamJai+Yunnan+Mixian+Hong+Kong,Operations; Digital,Similar playbook
Yoshinoya 吉野家 (HK),F&B,https://www.yoshinoya.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Yoshinoya+Hong+Kong,Operations; CX,Combo sets FAQ
KFC Hong Kong,F&B,https://www.kfchk.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+KFC+Hong+Kong,Digital; Contact Centre,Promo + delivery
McDonald's Hong Kong,F&B,https://www.mcdonalds.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+McDonald%27s+Hong+Kong,Digital; CRM,Scale pilot by district
Pizza Hut Hong Kong,F&B,https://www.pizzahut.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Pizza+Hut+Hong+Kong,Digital; E-comm,Order FAQ
PHD Pizza Hong Kong,F&B,https://www.phdpizza.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+PHD+Pizza+Hong+Kong,Digital; CX,Delivery SLA
Domino's Pizza Hong Kong,F&B,https://www.dominos.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Domino%27s+Hong+Kong,Digital; CX,Order tracking
PizzaExpress Hong Kong,F&B,https://www.pizzaexpress.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+PizzaExpress+Hong+Kong,Operations; Marketing,Booking
Hui Lau Shan 許留山,F&B,https://www.hkhls.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Hui+Lau+Shan+Hong+Kong,Marketing; CX,Seasonal promos
Tai Hing 太興,F&B,https://www.taihingsystem.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Tai+Hing+Group+Hong+Kong,Operations; Digital,Group pilot
Men Wah Bing Teng 民華冰廳 (Tai Hing),F&B,https://www.taihingsystem.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Tai+Hing+Group+Hong+Kong,Operations; Marketing,Sub-brand
Kee Wah Bakery 奇華餅家,F&B,https://keewah.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Kee+Wah+Bakery+Hong+Kong,E-commerce; CX,Festive spikes
Wing Wah 榮華餅家,F&B,https://www.wingwah.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Wing+Wah+Bakery+Hong+Kong,E-commerce; CX,Seasonal
Maxim's Cakes 美心西餅,F&B,https://www.maximscakes.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Maxim%27s+Cakes+Hong+Kong,E-comm; Loyalty,Cake booking
Arome Bakery 東海堂,F&B,https://www.aromebakery.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Arome+Bakery+Hong+Kong,E-comm; CX,Pre-order
Saint Honore Cake Shop 聖安娜餅屋,F&B,https://www.sainthonore.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Saint+Honore+Cake+Shop+Hong+Kong,E-comm; CX,Custom cake
Gong Cha 貢茶 (HK),F&B,https://www.gong-cha.com.hk/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Gong+Cha+Hong+Kong,Marketing; CX,Promo FAQ
Heytea 喜茶 (HK),F&B,https://www.heytea.com/hk,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Heytea+Hong+Kong,Marketing; CX,Store hours
Nayuki 奈雪 (HK),F&B,https://www.nayuki.com/hk,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+Nayuki+Hong+Kong,Marketing; CX,Menu updates
CoCo Fresh Tea & Juice (HK),F&B,https://www.coco-tea.com/,WhatsApp,Unknown,https://www.google.com/search?q=LinkedIn+CoCo+Fresh+Tea+Hong+Kong,Operations; CX,Franchise model
